"","RDA1","RDA2","RDA3","RDA4","RDA5","RDA6","RDA7"
"Pmi",-0.869426716489535,0.954918355478304,0.167742939176842,0.662563166702379,-0.81661615348022,-0.587454034465867,0.474352444767835
"Pos",0.202500802179317,0.136104323098397,0.0184970370021638,0.203714092112956,-0.132335842168669,-0.152542315868247,-0.135796509086769
"Pse",-0.325106877288983,0.0371785414227305,0.067978479396288,0.410252236942488,-0.699215164612966,-0.358259204942983,0.753454440776397
"Cden",-0.55105950270827,0.201167654413524,0.486413230903095,0.65262700381437,0.175918950506996,-0.658655554747644,0.696564518024447
"Aco",-0.119130122741143,0.139353706945972,-0.363606118324297,-0.156779646586883,-0.756637594660633,-0.098362889080233,-0.113608296175338
"Dip",0.0343050738139121,0.0897878461375846,-0.065247638672826,-0.0181687111438792,-0.112684479426301,-0.246545295881736,0.070508360518377
"Csu",-0.0484642291933521,0.304091318921896,-0.167816372222305,0.044260780107638,-0.818239171337056,-0.835569907408295,0.121246466721405
"Mnu",0.111500362366872,0.127960608635011,-0.0602109391274761,-0.226233551581985,-0.171519964092565,-0.111828321011183,-0.384118947450981
"Pco",-0.238400047423321,0.139930111250864,-0.0472406122551173,-0.177832659093201,-0.616277483195495,-0.59487356894087,0.0680161670253293
"Cdeb",-0.95789390057344,1.18282905475288,0.815303462475007,-1.48971675592117,-0.858916361543725,-1.06592676618329,1.3522576337125
"Cwa",-0.0424317783576752,0.343414078683739,0.47708394974273,-0.189563220725974,0.00762853663587685,0.676481315811771,0.926986256714653
"Pba",-0.0414880532690718,0.0981101027610319,0.0996183550904281,0.228041051339705,0.0401287965000692,-0.0805382231382973,0.144236625650228
"Dac",-0.0981445670219308,0.177004426828166,0.0405386350749539,-0.0799716755409515,-0.255210462164025,0.301233994638295,-0.0167272643257844
"Ptr",-1.23539209788269,2.43450674390054,-0.561563606064104,-0.943924355370139,-1.46216436415771,-0.533404871666794,0.558092904458423
"Lun",-0.716686691718881,1.73707040715244,-0.537010169070893,-0.926590033506664,1.2575821729826,-1.0825435357439,-1.13130622701584
"Nsi",0.0427956730416007,-0.122469517725357,-0.192142375236247,-0.0558301631430057,-0.162116740598482,0.211230521278143,0.250734557079217
"Rst",0.0148060890252591,-0.00696206095671905,0.19670295995042,-0.064849615058895,-0.0678404108691541,0.542239144692606,0.575316722816637
"Pst",-0.119250093735755,0.175733053040231,-0.096526856680938,-0.164219103943154,-0.122698856157229,-0.00462932905890358,0.486679063414799
"Acn",0.0250033926994114,0.196878772326511,-0.127440520067703,0.00970879729539523,-0.0539652087156175,0.410498011852923,-0.199634267102231
"Tno",0.292503683958102,-0.738034427300269,1.14406608615193,-0.855912907936352,0.733708187173685,0.0938842572138562,1.02664831452945
"Ccu",-0.181459495955782,0.225540066191208,-0.0970767639139101,-0.138104723430471,-0.0680864154328892,-0.234298435481298,0.127510041194098
"Pan",-0.0153232360851875,-0.190796228303734,0.0326803985250642,0.144069777256512,0.0894660041577544,0.0854958744997366,0.0443259723323333
"Gfa",0.0607386228897749,0.096019805315741,-0.110195742523106,0.0770050763554048,0.371972941844117,0.317577456238878,0.399230992103937
"Hta",0.0484994205678045,-0.0226935772717391,0.188811349930622,-0.25400181263001,0.504184154843047,-0.206874116513619,-0.711610417233939
"Dsp",0.0479135236127866,-0.003952380159146,0.243064176651139,-0.0538929937392531,-0.219348910020916,0.184665204722424,0.264144021081154
"Psu",-0.21876930306542,-0.186146964730952,0.119681237513575,-0.27726910618632,-0.0638138779119981,-0.1832200961129,0.999826116112097
"Cei",-0.306347427613948,0.165406237342907,-0.133414376513909,0.20818206850214,-0.409202991842662,-0.594279066256097,-0.0744843871728051
"Ndi",-0.0187576698981673,0.0557403713017948,0.0458633102564077,0.0772447118272899,0.120915223852066,0.0930360131125009,-0.0547328966838792
"Cda",-0.298942044971292,0.965059091749081,0.583106089675881,-0.81243290189705,0.22466949036073,0.254592743574653,1.79590118138161
"Dro",-0.192165074674986,0.192517706033911,0.0779166190974454,0.0877745878136652,-0.0480924952925736,-0.193818429047891,0.413700369966922
"Cha",-0.131858887791612,0.0713113901401586,0.241602459648175,0.264730567713026,-0.0104632005542154,0.297774571959809,0.575526440962094
"Pac",-0.238601115482422,0.0796210491794959,-0.564900889924772,-0.404634406626912,-0.842320865624607,-1.74251108922908,0.0321005611974319
"Cau",-0.0983855816246161,0.0706192333954012,-0.0983156721016663,-0.13690358451384,-0.110362149506925,0.165550136619035,0.151383431398612
"Coc",-0.0990269366837078,0.0221001475469584,0.231378629480803,0.0397825204880695,-0.103489058314936,0.0480988850305688,0.492491849491431
"Pte",0.221877436432665,-0.00560057374582597,-0.28280149936364,0.127638473415707,0.116546810103828,0.278575879715458,-0.0156972135864135
"Edu",2.07701374535354,1.73593731425449,-1.41590686944873,-0.970112233073146,0.286355231088604,1.84063139761327,0.752363251920489
"Mpe",-0.0726584863159961,0.0862064003797516,-0.0409804779393108,0.0407170273594434,-0.019253669137883,0.237036136659425,-0.0115846135195556
"Pde",-0.0422932174224667,-0.0810249041518099,-0.023659696597237,0.0672969230348834,0.0227541000094526,-0.015867941860032,0.189440236463038
"Plo",-0.569941723216997,0.647168614373965,-0.0631831584217299,0.306003870888656,-0.359599485507952,0.37377443131119,0.00794337172545268
"Dpu",-0.239430609599344,0.369001251651193,-0.0895774349872018,-0.450078271940192,-0.396558963143552,0.113837068703895,0.161584819363175
"Rte",-0.0226376991747587,0.0673366971361189,0.00452660661450196,-0.17761249533347,-0.210391443823104,0.150126657369512,0.320214369581859
"Fja",-0.541445666889718,0.639632765996766,-0.65127362076581,-0.198963936239769,-1.10382230306377,-0.225679553586494,-0.0142392395275142
"Hak",-0.163779876106272,0.217996524389566,-0.167847984328574,-0.0645025606107817,-0.337434012087413,-0.0670744199636145,-0.326110408009183
"Mhe",0.301108338578458,-0.889759624616835,-2.3404575449601,-0.977963801267301,1.20590494799016,-1.63921873112001,1.96446235528585
"...78",6.25,2.49,0.97,0.4,0.18,0.17,0.12
