"","RDA1","RDA2","RDA3","RDA4"
"Cra",-0.135456336748277,-0.228681604372203,-0.294518631268635,-0.321115495453069
"Ore",0.0350272073611973,0.437909987392621,0.353291851936255,-1.01088330345833
"Cfu",-0.271569782106801,0.341167642678113,0.47388872322653,0.51383307122209
"Cgr",-0.169831807331763,0.377144788848772,0.163958702475221,0.175689260102387
"Lan",-1.0035065463082,0.213526364264995,1.24447491632532,-0.395767881668237
"Pcl",-0.140329923048889,-0.016325816407968,0.148619478887063,-0.00212426690045892
"Pmi",-0.869426716489535,0.954918355478304,0.167742939176842,0.662563166702379
"Pos",0.202500802179317,0.136104323098397,0.0184970370021638,0.203714092112956
"Pse",-0.325106877288983,0.0371785414227305,0.067978479396288,0.410252236942488
"Cden",-0.55105950270827,0.201167654413524,0.486413230903095,0.65262700381437
"Aco",-0.119130122741143,0.139353706945972,-0.363606118324297,-0.156779646586883
"Dip",0.0343050738139121,0.0897878461375846,-0.065247638672826,-0.0181687111438792
"Csu",-0.0484642291933521,0.304091318921896,-0.167816372222305,0.044260780107638
"Mnu",0.111500362366872,0.127960608635011,-0.0602109391274761,-0.226233551581985
"Pco",-0.238400047423321,0.139930111250864,-0.0472406122551173,-0.177832659093201
"Cdeb",-0.95789390057344,1.18282905475288,0.815303462475007,-1.48971675592117
"Cwa",-0.0424317783576752,0.343414078683739,0.47708394974273,-0.189563220725974
"Pba",-0.0414880532690718,0.0981101027610319,0.0996183550904281,0.228041051339705
"Dac",-0.0981445670219308,0.177004426828166,0.0405386350749539,-0.0799716755409515
"Ptr",-1.23539209788269,2.43450674390054,-0.561563606064104,-0.943924355370139
"Lun",-0.716686691718881,1.73707040715244,-0.537010169070893,-0.926590033506664
"Nsi",0.0427956730416007,-0.122469517725357,-0.192142375236247,-0.0558301631430057
"Rst",0.0148060890252591,-0.00696206095671905,0.19670295995042,-0.064849615058895
"Pst",-0.119250093735755,0.175733053040231,-0.096526856680938,-0.164219103943154
"Acn",0.0250033926994114,0.196878772326511,-0.127440520067703,0.00970879729539523
"Tno",0.292503683958102,-0.738034427300269,1.14406608615193,-0.855912907936352
"Ccu",-0.181459495955782,0.225540066191208,-0.0970767639139101,-0.138104723430471
"Pan",-0.0153232360851875,-0.190796228303734,0.0326803985250642,0.144069777256512
"Gfa",0.0607386228897749,0.096019805315741,-0.110195742523106,0.0770050763554048
"Hta",0.0484994205678045,-0.0226935772717391,0.188811349930622,-0.25400181263001
"Dsp",0.0479135236127866,-0.003952380159146,0.243064176651139,-0.0538929937392531
"Psu",-0.21876930306542,-0.186146964730952,0.119681237513575,-0.27726910618632
"Cei",-0.306347427613948,0.165406237342907,-0.133414376513909,0.20818206850214
"Ndi",-0.0187576698981673,0.0557403713017948,0.0458633102564077,0.0772447118272899
"Cda",-0.298942044971292,0.965059091749081,0.583106089675881,-0.81243290189705
"Dro",-0.192165074674986,0.192517706033911,0.0779166190974454,0.0877745878136652
"Cha",-0.131858887791612,0.0713113901401586,0.241602459648175,0.264730567713026
"Pac",-0.238601115482422,0.0796210491794959,-0.564900889924772,-0.404634406626912
"Cau",-0.0983855816246161,0.0706192333954012,-0.0983156721016663,-0.13690358451384
"Coc",-0.0990269366837078,0.0221001475469584,0.231378629480803,0.0397825204880695
"Pte",0.221877436432665,-0.00560057374582597,-0.28280149936364,0.127638473415707
"Edu",2.07701374535354,1.73593731425449,-1.41590686944873,-0.970112233073146
"Mpe",-0.0726584863159961,0.0862064003797516,-0.0409804779393108,0.0407170273594434
"Pde",-0.0422932174224667,-0.0810249041518099,-0.023659696597237,0.0672969230348834
"Plo",-0.569941723216997,0.647168614373965,-0.0631831584217299,0.306003870888656
"Dpu",-0.239430609599344,0.369001251651193,-0.0895774349872018,-0.450078271940192
"Rte",-0.0226376991747587,0.0673366971361189,0.00452660661450196,-0.17761249533347
"Fja",-0.541445666889718,0.639632765996766,-0.65127362076581,-0.198963936239769
"Hak",-0.163779876106272,0.217996524389566,-0.167847984328574,-0.0645025606107817
"Mhe",0.301108338578458,-0.889759624616835,-2.3404575449601,-0.977963801267301
"...78",6.25,2.49,0.97,0.4
