"","RDA1","RDA2","RDA3","RDA4","RDA5","RDA6","RDA7","RDA8","RDA9"
"Gfa",0.0846063895186753,0.108096440452486,0.192127149964617,0.251788185585355,-0.118565501572696,0.115519996063487,0.000132582594299158,0.156134268177123,-0.457407695300222
"Hta",0.0785166646785656,-0.0429183411191634,0.20656530504832,-0.0249741971442912,0.563621488125852,0.128323473131959,-0.0971849816687151,0.67613066559759,-0.175566166842973
"Dsp",0.0410137482220164,-0.0165579085135225,-0.0452619037522388,0.0881560717685102,0.117433390219947,-0.252641525459509,0.200962306580891,0.18395249141266,0.104654107350529
"Psu",-0.22941810783777,-0.212641102066064,0.0996091943914684,-0.00022084532513316,0.196182354976678,-0.24736648049607,0.466236044290887,-0.225627884336506,0.0707877851069064
"Cei",-0.305703551195802,0.172339231110194,0.118384892619223,0.264331085699968,-0.381651190564242,-0.110582064962163,0.0304581855278197,-0.121201135005514,0.648739700916609
"Ndi",-0.0177743247248728,0.0454368758311476,-0.000225729023230063,-0.0568472766426572,0.0435464270471525,-0.0704276897483344,-0.123344860712266,0.19824593770545,-0.166304709366862
"Cda",-0.308159220385249,0.859306650461663,-0.345662151299269,-0.912105711215604,0.437447885509579,-1.27958810261462,1.27226148456408,-2.45890616262119,-0.644272475630382
"Dro",-0.213597098005645,0.0978037180891056,0.120177655441834,-0.127752245871027,-0.155484701000249,-0.71407740230305,0.27491162433447,-0.323498698934492,0.180534887623806
"Cha",-0.131769763289043,0.0262005958196903,0.105749807011732,0.00809557365440733,0.167112576050916,-0.501951283560226,-0.0330921724763501,-0.0453345610947401,-0.0353643706574757
"Pac",-0.189778600616908,0.0206155517454513,0.803041787383845,0.151254880173549,-0.151385185995035,0.0716309124135221,0.468548061838649,-0.714089362259762,1.56254076946009
"Cau",-0.0907319922916363,0.0662407999816788,0.00813324977611195,-0.22853463065094,0.0268007218562856,0.0543519697399677,0.103261681392284,-0.12409190796427,-0.0126680357327372
"Coc",-0.109263292660719,0.0659697931274477,-0.162574214687592,0.32932154672921,-0.086282368803128,-0.16106754448503,0.172192949326719,-0.11831500402038,-0.00295000466847098
