"","RDA1","RDA2","RDA3","RDA4","RDA5","RDA6","RDA7","RDA8","RDA9","RDA10"
"Mnu",0.111511354410833,0.127951769404709,-0.0602763808334322,-0.226263503201572,-0.171440128909487,-0.111807969562398,-0.384146905627352,-0.184382362779443,0.320153850785232,0.114530763078459
"Pco",-0.23833951750617,0.139849846221398,-0.0472492371794941,-0.177887646614191,-0.615710488994137,-0.595564979355085,0.0675293955371045,-0.455053422285495,0.118214537979574,-0.566070964127566
"Cdeb",-0.957670196903288,1.1827718836817,0.81514202319453,-1.49004565257197,-0.857617238075268,-1.06714816470393,1.35202968325205,0.33501485006595,-0.219320680181089,0.523890433481611
"Cwa",-0.042365443068434,0.343319032071613,0.476978586973065,-0.189291221151737,0.00711320751148578,0.675919133032627,0.927052041634629,0.0209041895127002,1.13854892265902,-0.0675589162030528
"Pba",-0.0414234585458973,0.0981249422618133,0.099621358363917,0.228001223126422,0.0402937080604374,-0.0806605799547611,0.144123613831917,-0.459643367339913,0.389655421002372,0.0750980170806152
"Dac",-0.0981290593128395,0.176990818092948,0.0405326223678021,-0.079920788377276,-0.255597133787501,0.300843701844436,-0.0166796510068688,0.103395826946564,-0.203850672792625,-0.0895663828375401
"Ptr",-1.23516916860927,2.43439445429433,-0.562096470781938,-0.943719065145529,-1.4617120020769,-0.535528927439488,0.557687360675806,-0.2317475932229,0.323443976380871,0.934196164224447
"Lun",-0.716605528316344,1.73707034844269,-0.53729032450265,-0.926894696496724,1.25892304502242,-1.08034906504482,-1.13199334183637,-0.164627984869086,1.44832693799696,0.2040730776331
"Nsi",0.0427921243896277,-0.12249241821693,-0.192171630642704,-0.0557394248628149,-0.162213325367739,0.211000818944186,0.2508132960445,0.175480481482547,0.166554501609764,-0.259827311278867
"Rst",0.0148151109800199,-0.00695564407743887,0.196705365905747,-0.0648266024025178,-0.0683431570245805,0.542090232099618,0.575821595409101,-0.231492191253112,0.369174135814351,0.502105725991017
"Pst",-0.119193001648432,0.17563652980905,-0.0965811927150266,-0.164136764127177,-0.122769616271117,-0.0050608585915396,0.486555531789869,-0.0943666343294828,-0.247758044687491,0.190095618376718
"Acn",0.0250161241021688,0.196851521618913,-0.127482216188665,0.00980258115003685,-0.0542428089362351,0.410460904038384,-0.199567974033188,0.554166350546905,-0.44597401929973,-0.334013675236311
"Tno",0.292452272770189,-0.737883752129295,1.14367735200886,-0.856136183362723,0.733629000824831,0.0946792856463171,1.02700855390197,-1.37218423271595,0.627876839634761,0.258594637129525
"Ccu",-0.181454740839484,0.225553041730127,-0.0971218527615576,-0.138136820526469,-0.0678666334940253,-0.234375796679189,0.127465082257758,-0.258487296263624,0.141041360939264,0.0534996917986112
"Pan",-0.0153842759560164,-0.190757491708233,0.0324321468771616,0.143773254244653,0.0894865722790582,0.0858183951769232,0.0444074362572858,0.0332394372730653,-0.0406788858493345,0.179468369344486
